# Rime user dictionary
#@/db_name	clover
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	25055
#@/user_id	c10b546d-9061-4101-80d7-81e8dd66747f
a 	啊	c=107 d=7.79577 t=25055
xuan yi men 	选一门	c=1 d=1.21049e-12 t=25055
xuan yi yang 	选一样	c=1 d=5.31019e-25 t=25055
xuan ze 	选择	c=11 d=2.84543 t=25055
xuan zhong 	选中	c=1 d=0.865022 t=25055
xuan zi 	选自	c=1 d=2.69353e-10 t=25055
xue 	学	c=14 d=2.12471 t=25055
xue bu jin 	学不仅	c=1 d=2.95221e-30 t=25055
xue bu jin 	学不进	c=1 d=2.99682e-30 t=25055
xue dian 	学点	c=1 d=0.00603608 t=25055
xue ding e 	薛定谔	c=1 d=0.506617 t=25055
xue fen 	学分	c=1 d=0.000186888 t=25055
xue gei 	学给	c=1 d=0.000735471 t=25055
xue gong 	学工	c=3 d=0.192131 t=25055
xue guo 	学过	c=1 d=1.54865e-28 t=25055
xue ke 	学科	c=1 d=2.32347e-36 t=25055
xue mai 	血脉	c=1 d=1.75121e-33 t=25055
xue qi 	学气	c=1 d=2.19271e-31 t=25055
xue sheng 	学生	c=1 d=9.38025e-13 t=25055
xue sheng piao 	学生票	c=1 d=0.722527 t=25055
xue wen 	学文	c=2 d=0.514686 t=25055
xue wen ke 	学文科	c=1 d=0.690734 t=25055
xue xi 	学习	c=11 d=1.57851 t=25055
xue xi tong 	学习通	c=1 d=1.51252e-15 t=25055
xue xi zhe 	学习者	c=1 d=1.62081e-05 t=25055
xue xiao 	学校	c=6 d=1.04461 t=25055
xue zai 	学在	c=6 d=4.53225 t=25055
xue zhang 	学长	c=7 d=2.60104 t=25055
xun huan 	循环	c=4 d=1 t=25055
xun lu 	驯鹿	c=1 d=2.58651e-33 t=25055
xun se 	逊色	c=1 d=4.61646e-25 t=25055
xun xu jian jin 	循序渐进	c=1 d=0.373439 t=25055
xun zhao 	寻找	c=1 d=0.00124951 t=25055
ya 	呀	c=3 d=0.579865 t=25055
ya li 	压力	c=1 d=2.8223e-30 t=25055
ya po 	压迫	c=2 d=0.044296 t=25055
ya xing 	雅兴	c=0 d=1.71951e-25 t=25055
ya ya 	鸭鸭	c=7 d=2.94419 t=25055
ya zhi 	压制	c=1 d=1.75999e-33 t=25055
yan 	彦	c=1 d=1 t=25055
yan cha 	严查	c=1 d=4.69116e-08 t=25055
yan chang 	延长	c=1 d=4.84984e-17 t=25055
yan jin 	严谨	c=1 d=6.81726e-23 t=25055
yan jing 	眼睛	c=2 d=0.57944 t=25055
yan jing 	眼镜	c=1 d=0.394554 t=25055
yan jing she 	眼镜蛇	c=2 d=0.0219994 t=25055
yan jing tai da 	眼睛太大	c=1 d=0.425283 t=25055
yan jiu 	研究	c=2 d=0.115907 t=25055
yan jiu sheng 	研究生	c=2 d=7.57035e-36 t=25055
yan shi 	演示	c=2 d=6.84666e-26 t=25055
yan yi 	演义	c=1 d=3.62773e-13 t=25055
yan zhong 	严重	c=3 d=0.900325 t=25055
yang 	养	c=5 d=1.10851 t=25055
yang 	样	c=3 d=1.72668 t=25055
yang de 	养得	c=1 d=0.386741 t=25055
yang shi 	央视	c=1 d=0.514274 t=25055
yang zi 	样子	c=3 d=4.65012e-22 t=25055
yao 	要	c=39 d=2.93799 t=25055
yao ba 	要把	c=1 d=2.47017e-21 t=25055
yao bang mang 	要帮忙	c=1 d=0.236928 t=25055
yao bu 	要不	c=3 d=1.35077 t=25055
yao fa 	要发	c=1 d=0.802519 t=25055
yao gai 	要改	c=1 d=6.92854e-37 t=25055
yao gei 	要给	c=0 d=1.08196e-16 t=25055
yao gei ni 	要给你	c=1 d=1.08739e-15 t=25055
yao lai 	要来	c=1 d=5.14799e-13 t=25055
yao me 	要么	c=2 d=1.11011e-23 t=25055
yao qing 	邀请	c=1 d=0.687289 t=25055
yao qiu 	要求	c=17 d=1.14608 t=25055
yao qu 	要去	c=1 d=0.465334 t=25055
yao rang 	要让	c=1 d=0.557106 t=25055
yao shi 	要是	c=15 d=1.4043 t=25055
yao si 	要死	c=1 d=2.3279e-29 t=25055
yao tou 	摇头	c=1 d=9.80501e-34 t=25055
yao wen jiao zi 	咬文嚼字	c=1 d=2.867e-09 t=25055
yao xie 	要写	c=2 d=9.47568e-05 t=25055
yao yao 	遥遥	c=1 d=0.995012 t=25055
yao yao ling 	妖妖铃	c=0 d=0.0860708 t=25055
yao yao ling xi na 	妖妖铃吸纳	c=1 d=0.865022 t=25055
yao yao ling xian 	遥遥领先	c=3 d=2.94062 t=25055
yao zai 	要在	c=0 d=8.47289e-23 t=25055
yao zhu yi 	要注意	c=0 d=0.0631284 t=25055
ye 	也	c=39 d=2.07312 t=25055
ye 	爷	c=4 d=7.27253e-15 t=25055
ye bu 	也不	c=0 d=0.029671 t=25055
ye bu fen 	也不分	c=1 d=0.298197 t=25055
ye bu neng shuo 	也不能说	c=1 d=7.25755e-24 t=25055
ye bu shi 	也不是	c=3 d=0.429742 t=25055
ye bu yao 	也不要	c=1 d=0.955997 t=25055
ye chi 	也吃	c=1 d=0.913931 t=25055
ye dou 	也都	c=1 d=1.97556e-10 t=25055
ye dou shi 	也都是	c=1 d=0.574072 t=25055
ye hai shi 	也还是	c=2 d=0.814647 t=25055
ye hao 	也好	c=0 d=0.0323033 t=25055
ye hao kan 	也好看	c=1 d=0.324652 t=25055
ye hui 	也会	c=5 d=0.209901 t=25055
ye jiu shi 	也就是	c=25 d=0.850542 t=25055
ye jiu shi shuo 	也就是说	c=7 d=2.10367 t=25055
ye ke yi 	也可以	c=8 d=1.67971 t=25055
ye man 	也慢	c=1 d=1.11298e-24 t=25055
ye mei 	也没	c=1 d=0.690734 t=25055
ye mei guan xi 	也没关系	c=1 d=1.00638e-16 t=25055
ye mei wen ti 	也没问题	c=1 d=0.755784 t=25055
ye mei you 	也没有	c=3 d=1.35497e-16 t=25055
ye mian 	页面	c=5 d=1.29119 t=25055
ye nan 	也难	c=1 d=2.92283e-30 t=25055
ye neng 	也能	c=2 d=4.99881e-28 t=25055
ye neng dao 	也能到	c=1 d=1.26293e-11 t=25055
ye neng gou 	也能够	c=2 d=1.46378e-12 t=25055
ye neng kan 	也能看	c=1 d=1.11355e-30 t=25055
ye shi 	也是	c=26 d=2.64038 t=25055
ye suan 	也算	c=1 d=5.07855e-16 t=25055
ye suan de shang 	也算的上	c=1 d=6.83025e-16 t=25055
ye tai 	也太	c=0 d=1.36505e-15 t=25055
ye tai chou xiang 	也太抽象	c=1 d=1.37189e-14 t=25055
ye wen 	叶问	c=1 d=0.00386807 t=25055
ye xi huan 	也喜欢	c=1 d=0.171187 t=25055
ye xing 	也行	c=4 d=0.976461 t=25055
ye xu 	也许	c=5 d=1.06063 t=25055
ye xu yao 	也需要	c=1 d=7.79331e-09 t=25055
ye yao 	也要	c=4 d=0.369044 t=25055
ye yao qiu 	也要求	c=1 d=0.304221 t=25055
ye yao zhu yi 	也要注意	c=1 d=0.634448 t=25055
ye you 	也有	c=10 d=0.883942 t=25055
ye you ke neng 	也有可能	c=2 d=3.28304e-07 t=25055
ye you yi ge 	也有一个	c=1 d=1.19697e-27 t=25055
ye zai 	也在	c=1 d=2.39829e-05 t=25055
ye zai gao 	也在搞	c=1 d=0.000237581 t=25055
ye zhi 	也只	c=0 d=8.35839e-10 t=25055
ye zhi neng 	也只能	c=1 d=1.27211e-08 t=25055
ye zhi xu yao 	也只需要	c=1 d=8.40029e-09 t=25055
yi 	一	c=13 d=1.68464 t=25055
yi 	以	c=8 d=0.921813 t=25055
yi 	伊	c=1 d=1.0095e-23 t=25055
yi 	已	c=1 d=1.14746e-30 t=25055
yi 	翼	c=1 d=2.48601e-08 t=25055
yi an 	一按	c=1 d=0.726149 t=25055
yi ba 	一把	c=2 d=0.970446 t=25055
yi bai 	一百	c=0 d=4.26457e-05 t=25055
yi bai duo 	一百多	c=0 d=7.877e-18 t=25055
yi bai duo ge 	一百多个	c=1 d=7.91648e-17 t=25055
yi bai san 	一百三	c=1 d=0.000428594 t=25055
yi ban 	一般	c=19 d=2.99156 t=25055
yi ban shi 	一般是	c=1 d=0.88692 t=25055
yi bao 	一报	c=1 d=1.28089e-30 t=25055
yi bao 	医保	c=3 d=1.57429 t=25055
yi bei 	一倍	c=2 d=0.0190653 t=25055
yi bei su 	一倍速	c=1 d=0.00878245 t=25055
yi bei zi 	一辈子	c=1 d=0.99005 t=25055
yi ben 	一本	c=1 d=2.1788e-16 t=25055
yi bian 	一边	c=9 d=2.98262 t=25055
yi bian 	一遍	c=2 d=0.131336 t=25055
yi bu 	一步	c=1 d=8.95043e-20 t=25055
yi bu fen 	一部分	c=4 d=0.970446 t=25055
yi ce 	一侧	c=1 d=1.79835e-22 t=25055
yi chu 	一出	c=1 d=0.0566989 t=25055
yi chu 	溢出	c=6 d=0.582748 t=25055
yi chu 	移除	c=3 d=1.4475e-27 t=25055
yi ci 	一次	c=11 d=2.11601 t=25055
yi ci 	依次	c=3 d=4.12209e-16 t=25055
yi ci ci 	一次次	c=0 d=2.56085e-05 t=25055
yi ci ke 	一次课	c=1 d=1.40323e-15 t=25055
yi ci xing 	一次性	c=1 d=0.028297 t=25055
yi da ba 	一大把	c=1 d=5.20858e-33 t=25055
yi da dui 	一大堆	c=1 d=1.28731e-30 t=25055
yi dan 	一旦	c=2 d=0.878095 t=25055
yi deng lu 	一登录	c=1 d=2.54887e-37 t=25055
yi dian 	一点	c=7 d=0.541273 t=25055
yi ding 	一定	c=1 d=1.04656e-06 t=25055
yi ding shi 	一定是	c=2 d=0.527292 t=25055
yi dong 	移动	c=25 d=0.000116078 t=25055
yi dong yu yi 	移动语义	c=1 d=1.92213e-11 t=25055
yi duan 	一段	c=3 d=2.96668e-10 t=25055
yi dui 	一堆	c=2 d=2.54175e-32 t=25055
yi dui 	一对	c=1 d=1.99263e-23 t=25055
yi dui 	一队	c=0 d=0.132573 t=25055
yi e 	溢恶	c=1 d=0.0784731 t=25055
yi er guang 	一耳光	c=1 d=3.84943e-05 t=25055
yi fang mian 	一方面	c=5 d=1.51722 t=25055
yi fen 	一份	c=3 d=1.72162e-09 t=25055
yi gai 	一改	c=1 d=2.1471e-19 t=25055
yi gao ren dan da 	艺高人胆大	c=1 d=1.08813e-23 t=25055
yi ge 	一个	c=255 d=9.39698 t=25055
yi ge bei er 	一个贝尔	c=1 d=3.70668e-31 t=25055
yi ge dian 	一个点	c=1 d=2.8025e-06 t=25055
yi ge ge 	一个个	c=1 d=8.93188e-25 t=25055
yi ge lei 	一个类	c=1 d=0.0934807 t=25055
yi ge ren 	一个人	c=1 d=0.694197 t=25055
yi ge shi 	一个是	c=2 d=3.8692e-22 t=25055
yi ge yue 	一个月	c=1 d=0.878095 t=25055
yi gen 	一根	c=1 d=3.84068e-37 t=25055
yi guan 	一贯	c=1 d=2.75458e-09 t=25055
yi hang 	一行	c=12 d=0.276651 t=25055
yi hang zhi hou 	一行之后	c=1 d=1.04799e-22 t=25055
yi hou 	以后	c=7 d=1.54043 t=25055
yi hou jiu 	以后就	c=1 d=0.157237 t=25055
yi hui 	一会	c=2 d=2.02565e-10 t=25055
yi hui 	一回	c=1 d=2.03572e-10 t=25055
yi huo 	异或	c=1 d=0.985112 t=25055
yi ji 	一集	c=6 d=0.860708 t=25055
yi ji 	以及	c=2 d=0.860708 t=25055
yi jian 	意见	c=1 d=0.847894 t=25055
yi jian shi 	一件事	c=0 d=2.10058e-27 t=25055
yi jian shi qing 	一件事情	c=1 d=7.6679e-24 t=25055
yi jie 	一节	c=1 d=0.900325 t=25055
yi jin 	一进	c=0 d=4.91879e-37 t=25055
yi jin da xue 	一进大学	c=1 d=4.94345e-36 t=25055
yi jin qu 	一进去	c=3 d=2.04137 t=25055
yi jing 	已经	c=31 d=2.72426 t=25055
yi jing shi 	已经是	c=1 d=1.67677e-22 t=25055
yi ju 	一句	c=1 d=0.535261 t=25055
yi ju hua 	一句话	c=4 d=0.937067 t=25055
yi kai 	一开	c=1 d=0.97531 t=25055
yi kai shi 	一开始	c=3 d=0.680451 t=25055
yi kan 	一看	c=3 d=0.74003 t=25055
yi lai 	以来	c=1 d=0.261846 t=25055
yi lai 	依赖	c=4 d=0.260548 t=25055
yi lai 	移来	c=0 d=8.05281e-13 t=25055
yi lai yi qu 	移来移去	c=1 d=8.09318e-12 t=25055
yi lai yu 	依赖于	c=1 d=1.37427e-05 t=25055
yi lei 	一类	c=2 d=0.226502 t=25055
yi lie 	一列	c=1 d=2.25283e-21 t=25055
yi lun wen 	议论文	c=1 d=0.319819 t=25055
yi men 	一门	c=3 d=1.09188e-12 t=25055
yi ming 	一命	c=4 d=2.7385 t=25055
yi mu yi yang 	一模一样	c=1 d=3.07112e-24 t=25055
yi nian 	一年	c=1 d=6.3607e-31 t=25055
yi nu 	一怒	c=2 d=0.211858 t=25055
yi pai 	一排	c=1 d=0.496585 t=25055
yi pian pian 	一篇篇	c=1 d=8.79891e-25 t=25055
yi qi 	一期	c=2 d=7.07535e-11 t=25055
yi qi 	一起	c=8 d=0.852144 t=25055
yi qi 	遗器	c=4 d=1.83409 t=25055
yi qi kan 	一起看	c=1 d=1.18793e-26 t=25055
yi qi wan 	一起玩	c=1 d=3.48003e-24 t=25055
yi qian 	一千	c=0 d=1.57152e-25 t=25055
yi qian 	以前	c=1 d=0.786628 t=25055
yi qian tiao 	一千条	c=1 d=1.5794e-24 t=25055
yi qu 	移去	c=0 d=8.05281e-13 t=25055
yi qun 	一群	c=2 d=1.02343 t=25055
yi ren 	一人	c=1 d=0.371577 t=25055
yi sheng 	一声	c=1 d=0.900325 t=25055
yi shi 	一是	c=1 d=1.70565e-17 t=25055
yi shou 	一首	c=1 d=1.98783e-24 t=25055
yi si 	意思	c=36 d=2.83984 t=25055
yi si shi 	意思是	c=7 d=0.548691 t=25055
yi ti 	一体	c=2 d=3.9879e-09 t=25055
yi ti 	一提	c=1 d=4.00789e-09 t=25055
yi tian 	一天	c=5 d=0.980199 t=25055
yi tian dao wan 	一天到晚	c=1 d=0.232236 t=25055
yi tiao 	一条	c=1 d=6.90783e-07 t=25055
yi tuo 	依托	c=1 d=0.822835 t=25055
yi wan shang 	一晚上	c=1 d=3.19482e-18 t=25055
yi wei 	以为	c=1 d=0.847894 t=25055
yi wei zhe 	意味着	c=1 d=6.43139e-14 t=25055
yi wen 	一问	c=1 d=0.214381 t=25055
yi wu nei 	一屋内	c=1 d=0.806541 t=25055
yi xia 	一下	c=43 d=2.0768 t=25055
yi xia zi 	一下子	c=2 d=0.818731 t=25055
yi xia zuo 	一下左	c=1 d=0.810584 t=25055
yi xiang 	一项	c=1 d=0.680451 t=25055
yi xiao shi 	一小时	c=1 d=0.687289 t=25055
yi xie 	一些	c=29 d=1.83473 t=25055
yi xie ji 	一些机	c=1 d=0.615697 t=25055
yi yan 	一眼	c=4 d=0.48214 t=25055
yi yan nan jin 	一言难尽	c=1 d=0.173774 t=25055
yi yang 	一样	c=21 d=1.29935 t=25055
yi yi 	意义	c=3 d=1.57772e-11 t=25055
yi yi shang 	意义上	c=1 d=8.32662e-23 t=25055
yi yong 	一用	c=1 d=1.54575e-06 t=25055
yi ze 	一则	c=1 d=2.18705e-30 t=25055
yi zhang 	一张	c=1 d=0.402524 t=25055
yi zhang 	一章	c=2 d=0.865022 t=25055
yi zheng 	一整	c=0 d=1.0799e-23 t=25055
yi zheng ge 	一整个	c=2 d=2.57457e-08 t=25055
yi zheng hang 	一整行	c=1 d=1.08532e-22 t=25055
yi zheng tian 	一整天	c=2 d=0.00289433 t=25055
yi zhi 	一只	c=1 d=1.24625e-31 t=25055
yi zhi 	一直	c=12 d=0.714253 t=25055
yi zhi 	一致	c=5 d=0.145964 t=25055
yi zhi 	已知	c=2 d=8.52461e-19 t=25055
yi zhi 	益智	c=1 d=3.34653e-05 t=25055
yi zhi 	译制	c=1 d=0.00311976 t=25055
yi zhi yi wei 	一直以为	c=0 d=8.15176e-39 t=25055
yi zhong 	一众	c=2 d=4.28813e-10 t=25055
yi zhong 	一种	c=11 d=1.68739 t=25055
yin 	因	c=1 d=2.19764e-28 t=25055
yin 	银	c=5 d=2.85742 t=25055
yin bao 	引爆	c=1 d=0.506617 t=25055
yin bian liang 	因变量	c=1 d=2.25327e-28 t=25055
yin cang 	隐藏	c=2 d=1.19239 t=25055
yin dui 	因对	c=1 d=1.27849e-08 t=25055
yin fa 	引发	c=1 d=3.39065e-12 t=25055
yin jian 	阴间	c=1 d=8.78217e-32 t=25055
yin jiao 	引脚	c=1 d=9.63573e-35 t=25055
yin jin 	引进	c=1 d=3.54358e-31 t=25055
yin lang 	银狼	c=1 d=0.715338 t=25055
yin liang 	音量	c=1 d=0.965605 t=25055
yin qi 	引起	c=2 d=0.0483156 t=25055
yin qing 	引擎	c=1 d=9.02165e-25 t=25055
yin ru 	引入	c=3 d=1.03218e-05 t=25055
yin wei 	因为	c=67 d=5.90138 t=25055
yin xiang 	印象	c=3 d=1.40499 t=25055
yin yo 	因哟	c=2 d=0.0448245 t=25055
yin yong 	引用	c=68 d=0.146653 t=25055
yin you 	音游	c=1 d=1.17367e-31 t=25055
yin zhi 	银枝	c=8 d=3.41391 t=25055
ying 	应	c=1 d=0.918512 t=25055
ying 	硬	c=1 d=0.0295994 t=25055
ying 	赢	c=3 d=1.93908e-26 t=25055
ying da 	应答	c=1 d=0.752014 t=25055
ying dui 	应对	c=1 d=1.2849e-08 t=25055
ying gai 	应该	c=23 d=2.25661 t=25055
ying gai shi 	应该是	c=14 d=0.818731 t=25055
ying gai you 	应该有	c=1 d=3.10515e-36 t=25055
ying guo 	英国	c=1 d=5.13557e-14 t=25055
ying jian 	硬件	c=3 d=2.47362e-08 t=25055
ying pan 	硬盘	c=2 d=1.08123e-07 t=25055
ying shang 	硬上	c=1 d=3.31662e-17 t=25055
ying she 	映射	c=1 d=9.49743e-12 t=25055
ying shi 	硬是	c=1 d=7.35322e-31 t=25055
ying wen 	英文	c=16 d=2.68118 t=25055
ying wo 	硬卧	c=3 d=2.15851 t=25055
ying xiang 	影响	c=2 d=0.26982 t=25055
ying yong 	应用	c=10 d=2.65036 t=25055
ying yu 	英语	c=1 d=1.46732e-11 t=25055
ying zi 	影子	c=1 d=1.01036e-33 t=25055
yo 	哟	c=1 d=0.778801 t=25055
yo guan 	哟关	c=1 d=0.891366 t=25055
yong 	用	c=89 d=6.34969 t=25055
yong bu liao 	用不了	c=5 d=4.74931e-14 t=25055
yong bu shang 	用不上	c=1 d=7.74628e-26 t=25055
yong bu yong 	用不用	c=1 d=0.932394 t=25055
yong duo 	勇夺	c=1 d=2.21746e-16 t=25055
yong duo 	用多	c=1 d=2.22857e-16 t=25055
yong fa 	用法	c=2 d=0.169151 t=25055
yong gan 	勇敢	c=2 d=1.96531 t=25055
yong ge 	咏歌	c=1 d=9.55641e-26 t=25055
yong guo 	用过	c=1 d=2.9043e-14 t=25055
yong hu 	用户	c=15 d=3.53088 t=25055
yong hu mu lu 	用户目录	c=1 d=0.00644146 t=25055
yong hu shi 	用户是	c=1 d=0.321422 t=25055
yong hu zu 	用户组	c=1 d=2.62971e-22 t=25055
yong jiu 	永久	c=2 d=0.0266491 t=25055
yong lai 	用来	c=8 d=1.67171 t=25055
yong qi 	勇气	c=3 d=1.44001 t=25055
yong qi lai 	用起来	c=1 d=8.32378e-19 t=25055
yong sha 	用啥	c=1 d=3.73491e-32 t=25055
yong shang 	用上	c=1 d=6.65708e-08 t=25055
yong shen me 	用什么	c=1 d=9.33505e-15 t=25055
yong shi 	用时	c=1 d=8.70987e-23 t=25055
yong wo 	用我	c=1 d=1.32354e-33 t=25055
yong yi xia 	用一下	c=1 d=9.03087e-37 t=25055
yong you 	拥有	c=2 d=0.310367 t=25055
yong yuan 	永远	c=1 d=3.07697e-17 t=25055
yong zhe 	勇者	c=0 d=0.099005 t=25055
yong zhe 	用着	c=1 d=6.47464e-34 t=25055
yong zhe ge 	用这个	c=1 d=4.4715e-32 t=25055
you 	又	c=23 d=2.19411 t=25055
you 	右	c=4 d=0.862651 t=25055
you 	幼	c=2 d=1.73978 t=25055
you 	有	c=119 d=4.77304 t=25055
you 	油	c=1 d=6.38171e-11 t=25055
you 	由	c=2 d=0.0880368 t=25055
you ban fa 	有办法	c=7 d=0.0318521 t=25055
you bi yao 	有必要	c=1 d=1.21759e-22 t=25055
you bo dong 	有波动	c=1 d=4.38832e-17 t=25055
you bu 	又不	c=0 d=0.013068 t=25055
you bu fen 	有部分	c=1 d=0.0561348 t=25055
you bu gan wen 	又不敢问	c=1 d=0.131336 t=25055
you bu shi 	又不是	c=1 d=4.70235e-36 t=25055
you ce 	右侧	c=2 d=2.06824e-06 t=25055
you cha yi 	有差异	c=1 d=0.364219 t=25055
you cheng yi 	有诚意	c=1 d=0.00316691 t=25055
you cuo wu 	有错误	c=1 d=1.0388e-36 t=25055
you dai 	优待	c=1 d=0.0229371 t=25055
you dao 	有道	c=1 d=1.14019e-14 t=25055
you dao li 	有道理	c=1 d=0.763379 t=25055
you dian 	优点	c=13 d=2.12572 t=25055
you dian 	有点	c=33 d=2.34922 t=25055
you dian gao 	有点高	c=1 d=0.960789 t=25055
you dian guai 	有点怪	c=2 d=1.91678 t=25055
you dian ku 	有点酷	c=1 d=0.442639 t=25055
you dian nao 	有电脑	c=2 d=1.28164e-18 t=25055
you dian yi si 	有点意思	c=1 d=0.980199 t=25055
you fu bi 	有伏笔	c=1 d=0.257947 t=25055
you ge 	有个	c=17 d=1.77503 t=25055
you guan 	有关	c=1 d=0.895834 t=25055
you guan xi 	有关系	c=4 d=1.37519 t=25055
you han zi 	有汉字	c=1 d=1.03954e-15 t=25055
you hao 	友好	c=1 d=0.66034 t=25055
you hao kan 	有好看	c=1 d=0.71177 t=25055
you hen duo 	有很多	c=2 d=0.839457 t=25055
you hu 	游湖	c=1 d=3.87004e-09 t=25055
you hua 	优化	c=25 d=2.45622e-07 t=25055
you hua hou 	优化后	c=1 d=5.12667e-23 t=25055
you ji ge 	有几个	c=1 d=0.690734 t=25055
you ji hui 	有机会	c=1 d=1.07871 t=25055
you jian 	右键	c=1 d=0.980199 t=25055
you jing gao 	有警告	c=1 d=8.06241e-26 t=25055
you ke neng 	有可能	c=2 d=1.34036e-05 t=25055
you ke yi 	又可以	c=1 d=2.51049e-35 t=25055
you kou yin 	有口音	c=1 d=0.447088 t=25055
you kuai 	又快	c=1 d=1.00967e-25 t=25055
you lai le 	又来了	c=1 d=0.690734 t=25055
you le 	有了	c=1 d=2.27553e-26 t=25055
you li you bi 	有利有弊	c=1 d=0.57695 t=25055
you mei you 	有没有	c=3 d=0.916189 t=25055
you mie 	有灭	c=0 d=6.42244e-28 t=25055
you mie you 	有灭有	c=1 d=6.45463e-27 t=25055
you na xie 	又哪些	c=2 d=0.666977 t=25055
you na zhong 	有那种	c=1 d=5.25825e-27 t=25055
you piao 	有票	c=1 d=0.913931 t=25055
you qi 	尤其	c=3 d=0.65377 t=25055
you qi shi 	尤其是	c=2 d=0.191092 t=25055
you qu bie 	有区别	c=2 d=1.53389e-23 t=25055
you que dian 	优缺点	c=1 d=0.336216 t=25055
you qun 	有群	c=1 d=1.49747e-15 t=25055
you ren 	有人	c=5 d=1.13369 t=25055
you ren shuo 	有人说	c=1 d=6.92994e-10 t=25055
you ren zhuan 	有人转	c=1 d=0.918512 t=25055
you sha 	有啥	c=5 d=0.852178 t=25055
you sha ne mao 	有啥呢帽	c=1 d=0.00282287 t=25055
you shan 	游山	c=1 d=5.41193e-13 t=25055
you shen me 	有什么	c=16 d=2.03177 t=25055
you shi 	优势	c=2 d=1.66449e-23 t=25055
you shi 	又是	c=4 d=0.778506 t=25055
you shi hou 	有时候	c=6 d=2.07929 t=25055
you shi jian 	有时间	c=8 d=0.896774 t=25055
you shi sha 	又是啥	c=1 d=2.45952e-29 t=25055
you shuo fa 	有说法	c=2 d=0.99005 t=25055
you tu po 	有突破	c=1 d=0.644036 t=25055
you wen hua 	有文化	c=1 d=0.308819 t=25055
you wen ti 	有问题	c=13 d=1.80113 t=25055
you wu 	有误	c=1 d=8.78544e-07 t=25055
you xi 	游戏	c=12 d=1.67228 t=25055
you xian 	优先	c=2 d=0.000103741 t=25055
you xian 	有线	c=1 d=4.58547e-34 t=25055
you xian 	有限	c=8 d=0.83527 t=25055
you xian ji 	优先级	c=2 d=0.000253555 t=25055
you xian ji jin 	有限基金	c=1 d=1.77369e-36 t=25055
you xiao 	有效	c=4 d=1.43925e-05 t=25055
you xie 	有些	c=7 d=0.89379 t=25055
you xing 	游行	c=1 d=0.398519 t=25055
you xiu 	优秀	c=3 d=1.16623 t=25055
you xu 	有序	c=2 d=7.18778e-28 t=25055
you xu duo 	有许多	c=1 d=7.86602e-30 t=25055
you ya 	优雅	c=0 d=0.0900325 t=25055
you yi 	有一	c=0 d=3.66668e-22 t=25055
you yi ci 	有一次	c=2 d=0.240508 t=25055
you yi dian 	有一点	c=2 d=0.0531307 t=25055
you yi duan 	有一段	c=1 d=6.8256e-08 t=25055
you yi fen 	有一份	c=1 d=8.83069e-38 t=25055
you yi ge 	有一个	c=31 d=0.840037 t=25055
you yi ge hao chu 	有一个好处	c=1 d=0.000117391 t=25055
you yi hang 	有一行	c=1 d=3.68506e-21 t=25055
you yi pian 	有一篇	c=1 d=1.68782e-11 t=25055
you yi shuo yi 	有一说一	c=2 d=0.382893 t=25055
you yi si 	有意思	c=1 d=3.15272e-09 t=25055
you yi xie 	有一些	c=9 d=0.752883 t=25055
you yi xie cuo wu 	有一些错误	c=1 d=0.209088 t=25055
you yi zhang 	尤以长	c=1 d=1.55319e-33 t=25055
you yi zhang 	有一张	c=1 d=1.56097e-33 t=25055
you ying xiang 	有影响	c=1 d=4.29617e-32 t=25055
you yong 	有用	c=1 d=1.34126e-13 t=25055
you yong 	游泳	c=1 d=1.33457e-13 t=25055
you yu 	由于	c=1 d=0.690734 t=25055
you yu li 	有余力	c=1 d=0.00597602 t=25055
you zhe ge 	有这个	c=1 d=0.00017956 t=25055
you zhe me 	有这么	c=1 d=7.50304e-33 t=25055
you zhe yang 	有这样	c=1 d=6.20596e-06 t=25055
you zhi 	右值	c=57 d=0.047877 t=25055
you zhi yin yong 	右值引用	c=2 d=4.9804e-06 t=25055
you zhong 	有种	c=2 d=0.467666 t=25055
yu 	与	c=1 d=1.10568e-34 t=25055
yu 	于	c=3 d=0.637628 t=25055
yu 	玉	c=1 d=0.373439 t=25055
yu dao 	遇到	c=13 d=1.70982 t=25055
yu fa 	语法	c=15 d=0.662285 t=25055
yu fa tang 	语法糖	c=2 d=4.44238e-14 t=25055
yu ji 	预计	c=0 d=1.18426e-20 t=25055
yu jin 	于禁	c=1 d=0.00337959 t=25055
yu ju 	语句	c=7 d=2.36061e-05 t=25055
yu lan 	预览	c=3 d=0.56836 t=25055
yu le shi jian 	娱乐时间	c=1 d=1 t=25055
yu ou 	与偶	c=0 d=1.99467e-36 t=25055
yu qi 	与其	c=1 d=8.74013e-05 t=25055
yu qi 	预期	c=3 d=8.69654e-05 t=25055
yu xuan 	预选	c=0 d=1.1335e-34 t=25055
yu xuan kuang 	预选框	c=1 d=1.13918e-33 t=25055
yu yan 	语言	c=24 d=1.08191 t=25055
yu yan 	预言	c=1 d=7.07836e-24 t=25055
yu yan gu shi 	寓言故事	c=1 d=8.30653e-24 t=25055
yu yi 	予以	c=1 d=1.75246e-12 t=25055
yu yi 	语义	c=15 d=0.000119234 t=25055
yu yi shang 	语义上	c=2 d=3.48138e-09 t=25055
yu yin 	语音	c=1 d=0.640824 t=25055
yu zhi 	阈值	c=1 d=2.08648e-35 t=25055
yu zhou 	宇宙	c=4 d=0.640837 t=25055
yuan 	原	c=4 d=4.26466e-07 t=25055
